Time[s], Motor_J17_P1, MPF_J23_P2, PaperIn_J27_P5, Duplex_J27_P2, Exit_J14_P2, Narrow_J11_P2, Channel 6, Channel 7
0.357543458333333, 1, 1, 1, 1, 1, 1, 1, 1
0.360517333333333, 0, 1, 1, 1, 1, 1, 1, 1
0.363628375000000, 1, 1, 1, 1, 1, 1, 1, 1
0.366582458333333, 0, 1, 1, 1, 1, 1, 1, 1
0.369684250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.372616291666667, 0, 1, 1, 1, 1, 1, 1, 1
0.375714000000000, 1, 1, 1, 1, 1, 1, 1, 1
0.378554000000000, 0, 1, 1, 1, 1, 1, 1, 1
0.381583458333333, 1, 1, 1, 1, 1, 1, 1, 1
0.384428875000000, 0, 1, 1, 1, 1, 1, 1, 1
0.387457416666667, 1, 1, 1, 1, 1, 1, 1, 1
0.390310083333333, 0, 1, 1, 1, 1, 1, 1, 1
0.393302750000000, 1, 1, 1, 1, 1, 1, 1, 1
0.396137833333333, 0, 1, 1, 1, 1, 1, 1, 1
0.399114083333333, 1, 1, 1, 1, 1, 1, 1, 1
0.401925458333333, 0, 1, 1, 1, 1, 1, 1, 1
0.404892666666667, 1, 1, 1, 1, 1, 1, 1, 1
0.407620666666667, 0, 1, 1, 1, 1, 1, 1, 1
0.410537666666667, 1, 1, 1, 1, 1, 1, 1, 1
0.413281875000000, 0, 1, 1, 1, 1, 1, 1, 1
0.416205083333333, 1, 1, 1, 1, 1, 1, 1, 1
0.418954833333333, 0, 1, 1, 1, 1, 1, 1, 1
0.421835291666667, 1, 1, 1, 1, 1, 1, 1, 1
0.424577750000000, 0, 1, 1, 1, 1, 1, 1, 1
0.427454500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.430176875000000, 0, 1, 1, 1, 1, 1, 1, 1
0.433060125000000, 1, 1, 1, 1, 1, 1, 1, 1
0.435702541666667, 0, 1, 1, 1, 1, 1, 1, 1
0.438527041666667, 1, 1, 1, 1, 1, 1, 1, 1
0.441179666666667, 0, 1, 1, 1, 1, 1, 1, 1
0.444007250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.446670750000000, 0, 1, 1, 1, 1, 1, 1, 1
0.449460541666667, 1, 1, 1, 1, 1, 1, 1, 1
0.452110500000000, 0, 1, 1, 1, 1, 1, 1, 1
0.454897916666667, 1, 1, 1, 1, 1, 1, 1, 1
0.457531000000000, 0, 1, 1, 1, 1, 1, 1, 1
0.460314625000000, 1, 1, 1, 1, 1, 1, 1, 1
0.462862625000000, 0, 1, 1, 1, 1, 1, 1, 1
0.465571208333333, 1, 1, 1, 1, 1, 1, 1, 1
0.468178958333333, 0, 1, 1, 1, 1, 1, 1, 1
0.470967833333333, 1, 1, 1, 1, 1, 1, 1, 1
0.473576291666667, 0, 1, 1, 1, 1, 1, 1, 1
0.476321958333333, 1, 1, 1, 1, 1, 1, 1, 1
0.478939625000000, 0, 1, 1, 1, 1, 1, 1, 1
0.481708458333333, 1, 1, 1, 1, 1, 1, 1, 1
0.484326208333333, 0, 1, 1, 1, 1, 1, 1, 1
0.487111208333333, 1, 1, 1, 1, 1, 1, 1, 1
0.489668166666667, 0, 1, 1, 1, 1, 1, 1, 1
0.492415625000000, 1, 1, 1, 1, 1, 1, 1, 1
0.495003500000000, 0, 1, 1, 1, 1, 1, 1, 1
0.497776541666667, 1, 1, 1, 1, 1, 1, 1, 1
0.500387875000000, 0, 1, 1, 1, 1, 1, 1, 1
0.503138875000000, 1, 1, 1, 1, 1, 1, 1, 1
0.505753791666667, 0, 1, 1, 1, 1, 1, 1, 1
0.508521583333333, 1, 1, 1, 1, 1, 1, 1, 1
0.511141958333333, 0, 1, 1, 1, 1, 1, 1, 1
0.513924208333333, 1, 1, 1, 1, 1, 1, 1, 1
0.516481750000000, 0, 1, 1, 1, 1, 1, 1, 1
0.519235333333333, 1, 1, 1, 1, 1, 1, 1, 1
0.521816833333333, 0, 1, 1, 1, 1, 1, 1, 1
0.524590916666667, 1, 1, 1, 1, 1, 1, 1, 1
0.527204916666667, 0, 1, 1, 1, 1, 1, 1, 1
0.529954791666667, 1, 1, 1, 1, 1, 1, 1, 1
0.532569666666667, 0, 1, 1, 1, 1, 1, 1, 1
0.535337041666667, 1, 1, 1, 1, 1, 1, 1, 1
0.537960333333333, 0, 1, 1, 1, 1, 1, 1, 1
0.540741750000000, 1, 1, 1, 1, 1, 1, 1, 1
0.543300166666667, 0, 1, 1, 1, 1, 1, 1, 1
0.546053583333333, 1, 1, 1, 1, 1, 1, 1, 1
0.548635083333333, 0, 1, 1, 1, 1, 1, 1, 1
0.551411083333333, 1, 1, 1, 1, 1, 1, 1, 1
0.554023875000000, 0, 1, 1, 1, 1, 1, 1, 1
0.556774541666667, 1, 1, 1, 1, 1, 1, 1, 1
0.559391208333333, 0, 1, 1, 1, 1, 1, 1, 1
0.562158708333333, 1, 1, 1, 1, 1, 1, 1, 1
0.564778875000000, 0, 1, 1, 1, 1, 1, 1, 1
0.567547833333333, 1, 1, 1, 1, 1, 1, 1, 1
0.570103041666667, 0, 1, 1, 1, 1, 1, 1, 1
0.572857291666667, 1, 1, 1, 1, 1, 1, 1, 1
0.575446541666667, 0, 1, 1, 1, 1, 1, 1, 1
0.578218708333333, 1, 1, 1, 1, 1, 1, 1, 1
0.580829250000000, 0, 1, 1, 1, 1, 1, 1, 1
0.583580666666667, 1, 1, 1, 1, 1, 1, 1, 1
0.586193916666667, 0, 1, 1, 1, 1, 1, 1, 1
0.588966458333333, 1, 1, 1, 1, 1, 1, 1, 1
0.591580500000000, 0, 1, 1, 1, 1, 1, 1, 1
0.594367291666667, 1, 1, 1, 1, 1, 1, 1, 1
0.596923083333333, 0, 1, 1, 1, 1, 1, 1, 1
0.599675916666667, 1, 1, 1, 1, 1, 1, 1, 1
0.602258958333333, 0, 1, 1, 1, 1, 1, 1, 1
0.605036625000000, 1, 1, 1, 1, 1, 1, 1, 1
0.607643083333333, 0, 1, 1, 1, 1, 1, 1, 1
0.610399458333333, 1, 1, 1, 1, 1, 1, 1, 1
0.613010791666667, 0, 1, 1, 1, 1, 1, 1, 1
0.615780708333333, 1, 1, 1, 1, 1, 1, 1, 1
0.618395958333333, 0, 1, 1, 1, 1, 1, 1, 1
0.621183583333333, 1, 1, 1, 1, 1, 1, 1, 1
0.623739750000000, 0, 1, 1, 1, 1, 1, 1, 1
0.626495875000000, 1, 1, 1, 1, 1, 1, 1, 1
0.629076666666667, 0, 1, 1, 1, 1, 1, 1, 1
0.631854833333333, 1, 1, 1, 1, 1, 1, 1, 1
0.634460916666667, 0, 1, 1, 1, 1, 1, 1, 1
0.637218500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.639830625000000, 0, 1, 1, 1, 1, 1, 1, 1
0.642602125000000, 1, 1, 1, 1, 1, 1, 1, 1
0.645216541666667, 0, 1, 1, 1, 1, 1, 1, 1
0.648001250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.650558708333333, 0, 1, 1, 1, 1, 1, 1, 1
0.653315000000000, 1, 1, 1, 1, 1, 1, 1, 1
0.655893000000000, 0, 1, 1, 1, 1, 1, 1, 1
0.658672083333333, 1, 1, 1, 1, 1, 1, 1, 1
0.661281833333333, 0, 1, 1, 1, 1, 1, 1, 1
0.664037791666667, 1, 1, 1, 1, 1, 1, 1, 1
0.666650250000000, 0, 1, 1, 1, 1, 1, 1, 1
0.669421458333333, 1, 1, 1, 1, 1, 1, 1, 1
0.672038000000000, 0, 1, 1, 1, 1, 1, 1, 1
0.674821125000000, 1, 1, 1, 1, 1, 1, 1, 1
0.677377666666667, 0, 1, 1, 1, 1, 1, 1, 1
0.680134583333333, 1, 1, 1, 1, 1, 1, 1, 1
0.682715125000000, 0, 1, 1, 1, 1, 1, 1, 1
0.685491625000000, 1, 1, 1, 1, 1, 1, 1, 1
0.688102291666667, 0, 1, 1, 1, 1, 1, 1, 1
0.690854500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.693470166666667, 0, 1, 1, 1, 1, 1, 1, 1
0.696238750000000, 1, 1, 1, 1, 1, 1, 1, 1
0.698852708333333, 0, 1, 1, 1, 1, 1, 1, 1
0.701639333333333, 1, 1, 1, 1, 1, 1, 1, 1
0.704198833333333, 0, 1, 1, 1, 1, 1, 1, 1
